Samples,Val,Method
0,174.048640915594,CAMEO
100,166.494992846924,CAMEO
200,156.423462088698,CAMEO
300,148.640915593705,CAMEO
400,140.629470672389,CAMEO
500,108.125894134478,CAMEO
600,71.2732474964235,CAMEO
700,62.346208869814,CAMEO
800,54.5636623748212,CAMEO
900,49.7567954220315,CAMEO
1000,45.4077253218884,CAMEO
1100,43.3476394849785,CAMEO
1200,43.1187410586553,CAMEO
1300,42.6609442060086,CAMEO
1400,41.516452074392,CAMEO
1500,40.6008583690987,CAMEO
1600,40.6008583690987,CAMEO
1700,40.6008583690987,CAMEO
1800,40.6008583690987,CAMEO
1900,40.6008583690987,CAMEO
2000,40.6008583690987,CAMEO
2100,40.3719599427754,CAMEO
2200,39.9141630901288,CAMEO
2300,40.3719599427754,CAMEO
2400,39.9141630901288,CAMEO
2500,39.4563662374821,CAMEO
2600,39.6852646638054,CAMEO
2700,38.9985693848355,CAMEO
2800,38.5407725321888,CAMEO
2900,38.5407725321888,CAMEO
3000,38.3118741058655,CAMEO
3100,38.5407725321888,CAMEO
3200,38.3118741058655,CAMEO
3300,38.0829756795422,CAMEO
3400,38.0829756795422,CAMEO
3500,37.8540772532189,CAMEO
3600,32.33,CAMEO
0,174.048640915594,CAMEO
100,168.555078683834,CAMEO
200,161.230329041488,CAMEO
300,152.761087267525,CAMEO
400,148.412017167382,CAMEO
500,139.484978540773,CAMEO
600,132.160228898426,CAMEO
700,100.572246065808,CAMEO
800,83.4048640915594,CAMEO
900,57.0815450643777,CAMEO
1000,53.4191702432046,CAMEO
1100,52.7324749642347,CAMEO
1200,50.2145922746781,CAMEO
1300,49.9856938483548,CAMEO
1400,47.238912732475,CAMEO
1500,47.238912732475,CAMEO
1600,45.4077253218884,CAMEO
1700,45.4077253218884,CAMEO
1800,44.4921316165951,CAMEO
1900,43.1187410586553,CAMEO
2000,41.9742489270386,CAMEO
2100,40.1430615164521,CAMEO
2200,36.0228898426323,CAMEO
2300,35.5650929899857,CAMEO
2400,35.5650929899857,CAMEO
2500,34.1917024320458,CAMEO
2600,33.2761087267525,CAMEO
2700,31.6738197424893,CAMEO
2800,31.6738197424893,CAMEO
2900,30.9871244635193,CAMEO
3000,30.3004291845494,CAMEO
3100,29.8426323319027,CAMEO
3200,28.9270386266095,CAMEO
3300,28.9270386266095,CAMEO
3400,28.4692417739628,CAMEO
3500,28.2403433476395,CAMEO
3600,28.2403433476395,CAMEO
0,174.277539341917,JUMBO
100,167.868383404864,JUMBO
200,162.145922746781,JUMBO
300,157.110157367668,JUMBO
400,150.472103004292,JUMBO
500,144.520743919886,JUMBO
600,137.424892703863,JUMBO
700,128.726752503577,JUMBO
800,125.751072961373,JUMBO
900,122.546494992847,JUMBO
1000,118.426323319027,JUMBO
1100,116.595135908441,JUMBO
1200,115.221745350501,JUMBO
1300,111.559370529328,JUMBO
1400,104.463519313305,JUMBO
1500,100.572246065808,JUMBO
1600,97.8254649499285,JUMBO
1700,96.2231759656653,JUMBO
1800,93.7052932761088,JUMBO
1900,92.7896995708155,JUMBO
2000,87.7539341917024,JUMBO
2100,79.2846924177396,JUMBO
2200,76.5379113018598,JUMBO
2300,73.5622317596566,JUMBO
2400,69.8998569384836,JUMBO
2500,66.0085836909871,JUMBO
2600,63.9484978540773,JUMBO
2700,62.5751072961374,JUMBO
2800,61.2017167381974,JUMBO
2900,56.1659513590844,JUMBO
3000,53.8769670958512,JUMBO
3100,50.2145922746781,JUMBO
3200,48.1545064377683,JUMBO
3300,46.7811158798284,JUMBO
3400,46.7811158798284,JUMBO
3500,46.7811158798284,JUMBO
3600,46.7811158798284,JUMBO
0,174.048640915594,JUMBO
100,165.808297567954,JUMBO
200,159.399141630901,JUMBO
300,151.845493562232,JUMBO
400,147.496423462089,JUMBO
500,141.087267525036,JUMBO
600,133.533619456366,JUMBO
700,127.353361945637,JUMBO
800,120.257510729614,JUMBO
900,117.510729613734,JUMBO
1000,114.306151645207,JUMBO
1100,109.270386266094,JUMBO
1200,103.547925608011,JUMBO
1300,100.801144492132,JUMBO
1400,96.9098712446352,JUMBO
1500,92.7896995708155,JUMBO
1600,89.3562231759657,JUMBO
1700,85.9227467811159,JUMBO
1800,83.862660944206,JUMBO
1900,82.2603719599428,JUMBO
2000,80.6580829756796,JUMBO
2100,76.0801144492132,JUMBO
2200,74.0200286123033,JUMBO
2300,69.6709585121602,JUMBO
2400,68.755364806867,JUMBO
2500,63.9484978540773,JUMBO
2600,58.6838340486409,JUMBO
2700,56.6237482117311,JUMBO
2800,55.2503576537912,JUMBO
2900,51.3590844062947,JUMBO
3000,49.7567954220315,JUMBO
3100,47.0100143061516,JUMBO
3200,43.8054363376252,JUMBO
3300,42.6609442060086,JUMBO
3400,41.2875536480687,JUMBO
3500,41.2875536480687,JUMBO
3600,41.2875536480687,JUMBO
0,174.590844062947,SMAC
100,168.097281831187,SMAC
200,163.748211731044,SMAC
300,155.736766809728,SMAC
400,147.267525035765,SMAC
500,140.629470672389,SMAC
600,136.967095851216,SMAC
700,134.220314735336,SMAC
800,129.64234620887,SMAC
900,122.77539341917,SMAC
1000,117.968526466381,SMAC
1100,114.077253218884,SMAC
1200,110.185979971388,SMAC
1300,108.354792560801,SMAC
1400,107.668097281831,SMAC
1500,106.065808297568,SMAC
1600,101.258941344778,SMAC
1700,98.9699570815451,SMAC
1800,95.0786838340487,SMAC
1900,91.8741058655222,SMAC
2000,87.7539341917024,SMAC
2100,86.6094420600858,SMAC
2200,84.549356223176,SMAC
2300,82.4892703862661,SMAC
2400,79.5135908440629,SMAC
2500,78.826895565093,SMAC
2600,78.3690987124464,SMAC
2700,77.4535050071531,SMAC
2800,76.9957081545064,SMAC
2900,76.5379113018598,SMAC
3000,75.8512160228898,SMAC
3100,74.2489270386266,SMAC
3200,72.4177396280401,SMAC
3300,71.2732474964235,SMAC
3400,70.3576537911302,SMAC
3500,68.755364806867,SMAC
3600,68.755364806867,SMAC
0,174.590844062947,SMAC
100,167.410586552217,SMAC
200,161.917024320458,SMAC
300,155.965665236052,SMAC
400,148.869814020029,SMAC
500,141.773962804006,SMAC
600,137.195994277539,SMAC
700,133.07582260372,SMAC
800,128.726752503577,SMAC
900,125.064377682403,SMAC
1000,123.690987124464,SMAC
1100,121.173104434907,SMAC
1200,119.113018597997,SMAC
1300,115.679542203147,SMAC
1400,111.788268955651,SMAC
1500,108.583690987124,SMAC
1600,106.294706723891,SMAC
1700,104.463519313305,SMAC
1800,103.776824034335,SMAC
1900,103.547925608011,SMAC
2000,103.319027181688,SMAC
2100,102.632331902718,SMAC
2200,102.403433476395,SMAC
2300,101.945636623748,SMAC
2400,101.258941344778,SMAC
2500,101.258941344778,SMAC
2600,99.8855507868383,SMAC
2700,98.114449213162,SMAC
2800,97.1387696709585,SMAC
2900,95.5364806866953,SMAC
3000,91.8741058655222,SMAC
3100,90.0429184549356,SMAC
3200,77.2961373390558,SMAC
3300,75.9227467811159,SMAC
3400,68.549356223176,SMAC
3500,68.1759656652361,SMAC
3600,68.1759656652361,SMAC
0,173.361945636624,Unicorn
100,166.723891273248,Unicorn
200,163.748211731044,Unicorn
300,156.652360515021,Unicorn
400,154.363376251788,Unicorn
500,150.929899856939,Unicorn
600,147.496423462089,Unicorn
700,143.605150214592,Unicorn
800,139.713876967096,Unicorn
900,136.509298998569,Unicorn
1000,133.07582260372,Unicorn
1100,130.100143061516,Unicorn
1200,125.979971387697,Unicorn
1300,122.317596566524,Unicorn
1400,120.02861230329,Unicorn
1500,113.619456366238,Unicorn
1600,110.185979971388,Unicorn
1700,107.896995708155,Unicorn
1800,105.608011444921,Unicorn
1900,102.632331902718,Unicorn
2000,99.4277539341917,Unicorn
2100,98.2832618025751,Unicorn
2200,95.9942775393419,Unicorn
2300,95.307582260372,Unicorn
2400,91.8741058655222,Unicorn
2500,89.585121602289,Unicorn
2600,85.0071530758226,Unicorn
2700,78.140200286123,Unicorn
2800,75.3934191702432,Unicorn
2900,71.7310443490701,Unicorn
3000,70.3576537911302,Unicorn
3100,65.7796852646638,Unicorn
3200,64.6351931330472,Unicorn
3300,63.2618025751073,Unicorn
3400,60.7439198855508,Unicorn
3500,57.5393419170243,Unicorn
3600,54.5393419170243,Unicorn
0,174.361945636624,Unicorn
100,166.037195994278,Unicorn
200,159.856938483548,Unicorn
300,152.532188841202,Unicorn
