Samples,Val,Method
0,49.0180842484025,CAMEO
100,47.5383088280911,CAMEO
200,45.749581239531,CAMEO
300,44.5773621192382,CAMEO
400,42.787393758918,CAMEO
500,40.8748991872945,CAMEO
600,38.9002109311992,CAMEO
700,37.1727464482908,CAMEO
800,35.8762950555245,CAMEO
900,33.965506545071,CAMEO
1000,32.4255536943979,CAMEO
1100,31.5644580929338,CAMEO
1200,30.3328370246293,CAMEO
1300,29.4100130281035,CAMEO
1400,28.5486072336994,CAMEO
1500,27.5031019294001,CAMEO
1600,26.0880017370805,CAMEO
1700,23.9935790061418,CAMEO
1800,22.2076431540418,CAMEO
1900,20.7303492772505,CAMEO
2000,18.9447236180904,CAMEO
2100,17.8379552081395,CAMEO
2200,16.9782554749054,CAMEO
2300,15.9347664247162,CAMEO
2400,14.7676654879335,CAMEO
2500,14.2181586947081,CAMEO
2600,13.5456604007693,CAMEO
2700,13.0572616167256,CAMEO
2800,12.4480426825485,CAMEO
2900,12.0205968112166,CAMEO
3000,11.7781810285998,CAMEO
3100,11.4123084558595,CAMEO
3200,11.107543892301,CAMEO
3300,11.0481419442894,CAMEO
3400,10.9881196103977,CAMEO
3500,10.9895154786277,CAMEO
3600,10.9895154786277,CAMEO
0,49.0183944413425,CAMEO
100,47.785377504808,CAMEO
200,45.8716421614244,CAMEO
300,44.5759662510081,CAMEO
400,40.749891432471,CAMEO
500,37.5414107574912,CAMEO
600,35.6895589056393,CAMEO
700,34.1469694149761,CAMEO
800,32.8545505304299,CAMEO
900,31.2527141882251,CAMEO
1000,29.8985669086172,CAMEO
1100,28.5444196290092,CAMEO
1200,27.49922451765,CAMEO
1300,26.3910602394689,CAMEO
1400,25.5285687697748,CAMEO
1500,23.1875426515292,CAMEO
1600,20.106551274893,CAMEO
1700,19.3068738755506,CAMEO
1800,18.1383770705379,CAMEO
1900,17.0939574415286,CAMEO
2000,15.9885848998077,CAMEO
2100,15.6850611080092,CAMEO
2200,15.1972827098455,CAMEO
2300,14.7084186363918,CAMEO
2400,13.4800545939574,CAMEO
2500,12.928996836032,CAMEO
2600,12.4413735343384,CAMEO
2700,12.4468019107885,CAMEO
2800,11.5889633351945,CAMEO
2900,11.4703145356412,CAMEO
3000,11.0416278925492,CAMEO
3100,10.9218934177058,CAMEO
3200,10.8623363732241,CAMEO
3300,10.8643526273342,CAMEO
3400,10.8032446181525,CAMEO
3500,10.6810285997891,CAMEO
3600,10.6810285997891,CAMEO
0,49.0799677399342,JUMBO
100,47.9075935231714,JUMBO
200,46.2413921459148,JUMBO
300,44.0201005025126,JUMBO
400,42.7245796885663,JUMBO
500,41.5534462435635,JUMBO
600,39.7642533655934,JUMBO
700,38.6540728333023,JUMBO
800,35.8165829145729,JUMBO
900,33.287424778212,JUMBO
1000,31.1905205037533,JUMBO
1100,28.9701594391712,JUMBO
1200,27.4905391153297,JUMBO
1300,25.5786649295862,JUMBO
1400,23.5437992431292,JUMBO
1500,22.0038463924561,JUMBO
1600,20.7717600347416,JUMBO
1700,19.6004714932688,JUMBO
1800,18.5534152242695,JUMBO
1900,17.3858489980768,JUMBO
2000,17.1470004342701,JUMBO
2100,16.5970283516347,JUMBO
2200,16.1723742167628,JUMBO
2300,15.2554438860972,JUMBO
2400,15.0798746820522,JUMBO
2500,14.7803833984738,JUMBO
2600,14.6012469756188,JUMBO
2700,14.2960171226503,JUMBO
2800,14.1003598238104,JUMBO
2900,14.1003598238104,JUMBO
3000,14.1003598238104,JUMBO
3100,14.1003598238104,JUMBO
3200,14.1003598238104,JUMBO
3300,14.1003598238104,JUMBO
3400,14.1003598238104,JUMBO
3500,14.1003598238104,JUMBO
3600,14.1003598238104,JUMBO
0,49.0799677399342,JUMBO
100,47.8458651281097,JUMBO
200,46.179818847323,JUMBO
300,46.179818847323,JUMBO
400,45.0690179291519,JUMBO
500,42.8488119610398,JUMBO
600,42.8488119610398,JUMBO
700,41.1216576710714,JUMBO
800,39.2710465909796,JUMBO
900,35.569824430796,JUMBO
1000,34.8300142688752,JUMBO
1100,33.1647434704386,JUMBO
1200,31.7471617345989,JUMBO
1300,30.2675414107575,JUMBO
1400,30.2675414107575,JUMBO
1500,28.357528382654,JUMBO
1600,27.0637136298778,JUMBO
1700,26.2035486072337,JUMBO
1800,25.1583534958744,JUMBO
1900,24.2363049816986,JUMBO
2000,24.2363049816986,JUMBO
2100,23.499286556238,JUMBO
2200,22.3334263912153,JUMBO
2300,21.0413176996092,JUMBO
2400,19.9323779390781,JUMBO
2500,18.3964575966251,JUMBO
2600,17.784446925988,JUMBO
2700,17.2958930454743,JUMBO
2800,16.251318319995,JUMBO
2900,16.0081270550282,JUMBO
3000,15.9499658787766,JUMBO
3100,15.7089459643899,JUMBO
3200,15.7750170606117,JUMBO
3300,15.5949500589367,JUMBO
3400,15.4161238290217,JUMBO
3500,15.2338854767666,JUMBO
3600,14.9916247906198,JUMBO
0,49.141696134996,SMAC
100,47.4767355294994,SMAC
200,46.3048266021465,SMAC
300,44.9485079719586,SMAC
400,43.8381723431975,SMAC
500,41.4937341026118,SMAC
600,39.1505366337862,SMAC
700,37.4240027296979,SMAC
800,36.6241702338855,SMAC
900,35.7624542465413,SMAC
1000,33.8530616043179,SMAC
1100,32.9314783795521,SMAC
1200,29.6639059495006,SMAC
1300,28.1869222656492,SMAC
1400,27.6991438674856,SMAC
1500,27.5212482163906,SMAC
1600,26.8509212730318,SMAC
1700,26.2410819529748,SMAC
1800,25.7578013524412,SMAC
1900,25.2703331472176,SMAC
2000,25.2735901730877,SMAC
2100,24.9703765742292,SMAC
2200,24.9703765742292,SMAC
2300,24.9134561697376,SMAC
2400,24.7329238786525,SMAC
2500,24.7357156151126,SMAC
2600,24.5548731310875,SMAC
2700,23.1987095973696,SMAC
2800,22.8317513493393,SMAC
2900,22.8317513493393,SMAC
3000,22.7740554624977,SMAC
3100,22.6523047335443,SMAC
3200,21.4803958061915,SMAC
3300,20.8026242322725,SMAC
3400,20.3719213350704,SMAC
3500,19.8791798498666,SMAC
3600,19.6331968484397,SMAC
0,49.0795024505242,SMAC
100,47.6628512935046,SMAC
200,45.5043737204541,SMAC
300,43.8387927290775,SMAC
400,42.5431168186612,SMAC
500,41.0633413983498,SMAC
600,39.7690613561635,SMAC
700,38.0450089955953,SMAC
800,36.8124573484707,SMAC
900,35.7657112724114,SMAC
1000,35.1512190582542,SMAC
1100,33.0541596873255,SMAC
1200,32.3788696569266,SMAC
1300,32.0765866368881,SMAC
1400,32.0792232768782,SMAC
1500,31.8366523977914,SMAC
1600,31.3465475525777,SMAC
1700,30.6109249953471,SMAC
1800,30.3055400459086,SMAC
1900,29.8776288851666,SMAC
2000,29.2653080215894,SMAC
2100,28.963800483901,SMAC
2200,28.8445312984676,SMAC
2300,28.7249519200943,SMAC
2400,28.6671009367827,SMAC
