Samples,Val,Method
0,120.016366136623,CAMEO
100,118.316825163177,CAMEO
200,114.420561290697,CAMEO
300,108.300052294164,CAMEO
400,105.378900273092,CAMEO
500,101.06532896903,CAMEO
600,99.116848405028,CAMEO
700,95.3610815207918,CAMEO
800,91.3267610544053,CAMEO
900,87.9872557184637,CAMEO
1000,84.2304429509403,CAMEO
1100,79.9147798803045,CAMEO
1200,74.346148631636,CAMEO
1300,68.6349286281498,CAMEO
1400,65.0137320601964,CAMEO
1500,60.6963258507486,CAMEO
1600,54.4286959384866,CAMEO
1700,50.1057116848405,CAMEO
1800,45.5024307102322,CAMEO
1900,42.8479789273886,CAMEO
2000,41.0274447521838,CAMEO
2100,38.6452712517673,CAMEO
2200,37.792179117197,CAMEO
2300,37.4937537525905,CAMEO
2400,36.2240514419632,CAMEO
2500,34.9512114814743,CAMEO
2600,34.6597586721156,CAMEO
2700,33.6665181770641,CAMEO
2800,32.3982103774864,CAMEO
2900,32.3853111502779,CAMEO
3000,32.0952528519688,CAMEO
3100,32.0823536247603,CAMEO
3200,31.9418566365168,CAMEO
3300,31.8003137649861,CAMEO
3400,31.7985706261742,CAMEO
3500,31.6580736379307,CAMEO
3600,31.518273905212,CAMEO
0,120.038620208789,CAMEO
100,113.306346962096,CAMEO
200,108.574770970928,CAMEO
300,103.706184269141,CAMEO
400,96.051713118088,CAMEO
500,89.9284150994557,CAMEO
600,89.9284150994557,CAMEO
700,83.9407332803936,CAMEO
800,79.2081114059383,CAMEO
900,72.3865119792373,CAMEO
1000,72.3865119792373,CAMEO
1100,69.4622223083031,CAMEO
1200,64.3081094691174,CAMEO
1300,59.0128023861633,CAMEO
1400,54.4161453390405,CAMEO
1500,49.677945420387,CAMEO
1600,46.049079041661,CAMEO
1700,42.6959772229862,CAMEO
1800,41.7124983052817,CAMEO
1900,40.8642869593848,CAMEO
2000,40.2925374290639,CAMEO
2100,39.4436288276423,CAMEO
2200,39.4436288276423,CAMEO
2300,38.5940229706959,CAMEO
2400,38.4416726385311,CAMEO
2500,38.0121632352656,CAMEO
2600,38.0121632352656,CAMEO
2700,37.7214076814317,CAMEO
2800,37.0081152795801,CAMEO
2900,37.0081152795801,CAMEO
3000,36.4412465379326,CAMEO
3100,36.4412465379326,CAMEO
3200,35.873331912998,CAMEO
3300,34.8842749510952,CAMEO
3400,34.8842749510952,CAMEO
3500,34.8752106292731,CAMEO
3600,34.5910790029246,CAMEO
0,120.898471848308,JUMBO
100,113.721562627104,JUMBO
200,110.241560302919,JUMBO
300,103.007185605547,JUMBO
400,97.9963587767039,JUMBO
500,94.100792159749,JUMBO
600,89.925974705119,JUMBO
700,85.3317580523329,JUMBO
800,82.1261257771494,JUMBO
900,78.3599000600414,JUMBO
1000,76.6795142453177,JUMBO
1100,75.1413685576495,JUMBO
1200,73.4616799984505,JUMBO
1300,70.9470279483256,JUMBO
1400,68.29083302667,JUMBO
1500,66.0550831864577,JUMBO
1600,62.4171524859096,JUMBO
1700,61.5724274176367,JUMBO
1800,61.0041641649397,JUMBO
1900,59.4548623888749,JUMBO
2000,57.7811005016366,JUMBO
2100,54.8550676918905,JUMBO
2200,52.8996145726405,JUMBO
2300,52.7549340512483,JUMBO
2400,52.4694079138502,JUMBO
2500,52.0451279270206,JUMBO
2600,51.7602990451473,JUMBO
2700,49.3878871220778,JUMBO
2800,47.4338285138773,JUMBO
2900,46.5915438399411,JUMBO
3000,46.4472119463113,JUMBO
3100,45.7433324940443,JUMBO
3200,45.3187038794522,JUMBO
3300,44.0608549127462,JUMBO
3400,43.7774205419225,JUMBO
3500,43.4894540101877,JUMBO
3600,43.4894540101877,JUMBO
0,120.317522418702,JUMBO
100,115.255176153861,JUMBO
200,110.523948790455,JUMBO
300,105.92833762662,JUMBO
400,101.192926730065,JUMBO
500,96.7385098099979,JUMBO
600,91.5889291317232,JUMBO
700,87.2704770389882,JUMBO
800,82.5357633979586,JUMBO
900,81.404117681238,JUMBO
1000,81.1147566384536,JUMBO
1100,79.1544227305301,JUMBO
1200,74.4224981115996,JUMBO
1300,74.2746799403459,JUMBO
1400,73.2891092560671,JUMBO
1500,70.6426759117584,JUMBO
1600,68.830508802851,JUMBO
1700,67.7072301524278,JUMBO
1800,67.9739303906568,JUMBO
1900,66.1617632817493,JUMBO
2000,63.3730898103852,JUMBO
2100,61.9709089500494,JUMBO
2200,60.4230016850342,JUMBO
2300,59.435339234181,JUMBO
2400,55.9431349383122,JUMBO
2500,53.159690883384,JUMBO
2600,50.3752009451686,JUMBO
2700,50.2284286572021,JUMBO
2800,50.0757296972749,JUMBO
2900,50.0684085142647,JUMBO
3000,49.0824892022234,JUMBO
3100,48.7910363928648,JUMBO
3200,48.0875055683601,JUMBO
3300,47.8051170808235,JUMBO
