Samples,Val,Method
0,184.81974248927,CAMEO
100,169.241773962804,CAMEO
200,164.663805436338,CAMEO
300,160.314735336195,CAMEO
400,156.194563662375,CAMEO
500,152.303290414878,CAMEO
600,146.123032904149,CAMEO
700,141.087267525036,CAMEO
800,136.280400572246,CAMEO
900,132.38912732475,CAMEO
1000,126.437768240343,CAMEO
1100,123.46208869814,CAMEO
1200,118.197424892704,CAMEO
1300,114.992846924177,CAMEO
1400,113.390557939914,CAMEO
1500,112.474964234621,CAMEO
1600,108.354792560801,CAMEO
1700,103.547925608011,CAMEO
1800,102.174535050072,CAMEO
1900,92.5608011444922,CAMEO
2000,87.9828326180258,CAMEO
2100,82.0314735336195,CAMEO
2200,76.3090128755365,CAMEO
2300,69.4420600858369,CAMEO
2400,65.5507868383405,CAMEO
2500,60.7439198855508,CAMEO
2600,55.9370529327611,CAMEO
2700,50.9012875536481,CAMEO
2800,46.552217453505,CAMEO
2900,41.516452074392,CAMEO
3000,36.9384835479256,CAMEO
3100,33.0472103004292,CAMEO
3200,29.8426323319027,CAMEO
3300,26.8669527896996,CAMEO
3400,24.1201716738198,CAMEO
3500,21.1444921316166,CAMEO
3600,21.1444921316166,CAMEO
0,184.590844062947,CAMEO
100,158.483547925608,CAMEO
200,145.207439198856,CAMEO
300,133.533619456366,CAMEO
400,125.293276108727,CAMEO
500,114.992846924177,CAMEO
600,109.957081545064,CAMEO
700,100.343347639485,CAMEO
800,93.0185979971388,CAMEO
900,90.5007153075823,CAMEO
1000,87.5250357653791,CAMEO
1100,85.9227467811159,CAMEO
1200,83.4048640915594,CAMEO
1300,77.6824034334764,CAMEO
1400,75.1645207439199,CAMEO
1500,71.2732474964235,CAMEO
1600,67.1530758226037,CAMEO
1700,64.1773962804006,CAMEO
1800,60.0572246065809,CAMEO
1900,57.310443490701,CAMEO
2000,54.7925608011445,CAMEO
2100,52.961373390558,CAMEO
2200,48.3834048640916,CAMEO
2300,46.0944206008584,CAMEO
2400,43.3476394849785,CAMEO
2500,42.2031473533619,CAMEO
2600,41.0586552217454,CAMEO
2700,39.2274678111588,CAMEO
2800,36.480686695279,CAMEO
2900,35.5650929899857,CAMEO
3000,32.8183118741059,CAMEO
3100,32.1316165951359,CAMEO
3200,29.8426323319027,CAMEO
3300,28.4692417739628,CAMEO
3400,26.4091559370529,CAMEO
3500,25.9513590844063,CAMEO
3600,25.9513590844063,CAMEO
0,184.964234620887,JUMBO
100,170.157367668097,JUMBO
200,164.206008583691,JUMBO
300,158.254649499285,JUMBO
400,152.532188841202,JUMBO
500,144.291845493562,JUMBO
600,137.424892703863,JUMBO
700,133.533619456366,JUMBO
800,126.20886981402,JUMBO
900,117.739628040057,JUMBO
1000,115.450643776824,JUMBO
1100,115.450643776824,JUMBO
1200,115.450643776824,JUMBO
1300,115.908440629471,JUMBO
1400,115.908440629471,JUMBO
1500,114.306151645207,JUMBO
1600,115.221745350501,JUMBO
1700,114.992846924177,JUMBO
1800,111.101573676681,JUMBO
1900,106.294706723891,JUMBO
2000,100.801144492132,JUMBO
2100,89.585121602289,JUMBO
2200,81.1158798283262,JUMBO
2300,76.5379113018598,JUMBO
2400,70.5865522174535,JUMBO
2500,65.5507868383405,JUMBO
2600,63.4907010014306,JUMBO
2700,55.7081545064378,JUMBO
2800,51.5879828326181,JUMBO
2900,48.6123032904149,JUMBO
3000,46.552217453505,JUMBO
3100,44.7210300429185,JUMBO
3200,43.5765379113019,JUMBO
3300,42.8898426323319,JUMBO
3400,41.9742489270386,JUMBO
3500,38.9985693848355,JUMBO
3600,38.9985693848355,JUMBO
0,184.217453505007,JUMBO
100,161.688125894134,JUMBO
200,156.652360515021,JUMBO
300,150.701001430615,JUMBO
400,145.436337625179,JUMBO
500,142.002861230329,JUMBO
600,130.786838340486,JUMBO
700,125.064377682403,JUMBO
800,120.71530758226,JUMBO
900,108.812589413448,JUMBO
1000,105.379113018598,JUMBO
1100,101.030042918455,JUMBO
1200,95.5364806866953,JUMBO
1300,91.6452074391989,JUMBO
1400,87.9828326180258,JUMBO
1500,85.9227467811159,JUMBO
1600,84.549356223176,JUMBO
1700,79.7424892703863,JUMBO
1800,77.2246065808298,JUMBO
1900,73.79113018598,JUMBO
2000,71.2732474964235,JUMBO
2100,67.1530758226037,JUMBO
2200,64.4062947067239,JUMBO
2300,62.346208869814,JUMBO
2400,60.0572246065809,JUMBO
2500,58.6838340486409,JUMBO
2600,57.0815450643777,JUMBO
2700,56.3948497854078,JUMBO
2800,55.4792560801145,JUMBO
2900,52.7324749642347,JUMBO
3000,51.1301859799714,JUMBO
3100,50.2145922746781,JUMBO
3200,49.9856938483548,JUMBO
3300,49.5278969957082,JUMBO
3400,49.2989985693849,JUMBO
3500,49.0701001430615,JUMBO
3600,49.0701001430615,JUMBO
0,184.1330472103,SMAC
100,164.663805436338,SMAC
200,160.314735336195,SMAC
300,156.194563662375,SMAC
400,151.616595135908,SMAC
500,148.183118741059,SMAC
600,146.123032904149,SMAC
700,144.749642346209,SMAC
800,144.062947067239,SMAC
900,141.773962804006,SMAC
1000,139.484978540773,SMAC
1100,137.424892703863,SMAC
1200,134.220314735336,SMAC
1300,133.304721030043,SMAC
1400,132.38912732475,SMAC
1500,132.160228898426,SMAC
1600,132.846924177396,SMAC
1700,133.07582260372,SMAC
1800,133.533619456366,SMAC
1900,133.533619456366,SMAC
2000,132.846924177396,SMAC
2100,132.160228898426,SMAC
2200,132.38912732475,SMAC
2300,128.497854077253,SMAC
