Samples,Val,Method
0,145.122858325394,CAMEO
100,139.447650990988,CAMEO
200,132.045043497275,CAMEO
300,126.986669686226,CAMEO
400,121.064172146126,CAMEO
500,116.005314164337,CAMEO
600,109.466104143564,CAMEO
700,104.283782622956,CAMEO
800,99.9655848313993,CAMEO
900,95.0312797725959,CAMEO
1000,90.8361823918034,CAMEO
1100,85.2832281693661,CAMEO
1200,79.6075366642198,CAMEO
1300,73.4376278757399,CAMEO
1400,69.7349321380043,CAMEO
1500,66.1538842988114,CAMEO
1600,62.8175847689256,CAMEO
1700,59.360726724663,CAMEO
1800,57.2595467537133,CAMEO
1900,56.0222484264451,CAMEO
2000,55.401541537164,CAMEO
2100,55.0254619145048,CAMEO
2200,54.5277343933028,CAMEO
2300,55.0149312008996,CAMEO
2400,54.763404501226,CAMEO
2500,54.7592890499321,CAMEO
2600,54.5073992222031,CAMEO
2700,54.3800623174598,CAMEO
2800,54.37509956737,CAMEO
2900,54.3665055367267,CAMEO
3000,54.3614217439518,CAMEO
3100,54.2348110953192,CAMEO
3200,54.2313008574507,CAMEO
3300,54.0758070813875,CAMEO
3400,53.4772128945601,CAMEO
3500,53.4741868274322,CAMEO
3600,53.4741868274322,CAMEO
0,144.136118356318,CAMEO
100,141.914985084418,CAMEO
200,138.337326440408,CAMEO
300,133.895180939291,CAMEO
400,126.739379480532,CAMEO
500,125.504986177706,CAMEO
600,122.913099161291,CAMEO
700,114.518062692302,CAMEO
800,111.30982632327,CAMEO
900,105.385997313633,CAMEO
1000,100.326292033049,CAMEO
1100,94.4011315538757,CAMEO
1200,92.0541138894529,CAMEO
1300,89.8289862089431,CAMEO
1400,89.7027386883658,CAMEO
1500,88.092023677511,CAMEO
1600,88.211734893092,CAMEO
1700,88.0802825370547,CAMEO
1800,87.9519772908304,CAMEO
1900,87.575655582801,CAMEO
2000,87.571540131507,CAMEO
2100,87.5681509363237,CAMEO
2200,86.9476861324129,CAMEO
2300,87.0680025614194,CAMEO
2400,86.570880253643,CAMEO
2500,86.4436643915848,CAMEO
2600,83.8522615459103,CAMEO
2700,79.5357583519453,CAMEO
2800,74.8475330719853,CAMEO
2900,69.2966365751948,CAMEO
3000,65.1021444078279,CAMEO
3100,59.0571516703891,CAMEO
3200,57.2031408624487,CAMEO
3300,54.8534602589533,CAMEO
3400,53.1224288190919,CAMEO
3500,52.1295156730754,CAMEO
3600,52.1295156730754,CAMEO
0,143.766332953285,JUMBO
100,141.174324894185,JUMBO
200,138.459579552376,JUMBO
300,135.991882330892,JUMBO
400,132.783524919175,JUMBO
500,130.438686023084,JUMBO
600,126.983401533728,JUMBO
700,120.690150249114,JUMBO
800,118.961176534899,JUMBO
900,114.023724366283,JUMBO
1000,109.952211566995,JUMBO
1100,107.113397472941,JUMBO
1200,103.040432161432,JUMBO
1300,99.5840582879098,JUMBO
1400,95.8805152513783,JUMBO
1500,91.0667687069518,JUMBO
1600,87.7321637746576,JUMBO
1700,84.1490582098177,JUMBO
1800,80.4422470207881,JUMBO
1900,77.2284426882409,JUMBO
2000,75.7421595576866,JUMBO
2100,74.0101597763443,JUMBO
2200,73.6340801536852,JUMBO
2300,73.3817061552158,JUMBO
2400,72.8822840364221,JUMBO
2500,71.1505263404501,JUMBO
2600,69.2956682337139,JUMBO
2700,67.3173465881581,JUMBO
2800,63.7342410233183,JUMBO
2900,61.261823137114,JUMBO
3000,59.1616115076452,JUMBO
3100,57.1852265450513,JUMBO
3200,56.567424680213,JUMBO
3300,55.8264013619254,JUMBO
3400,55.7024536523654,JUMBO
3500,55.3319419932216,JUMBO
3600,55.3319419932216,JUMBO
0,144.753193965046,JUMBO
100,141.420888843769,JUMBO
200,137.595455823325,JUMBO
300,133.893002170959,JUMBO
400,130.314496228154,JUMBO
500,125.871503428241,JUMBO
600,121.922727911662,JUMBO
700,118.83795508145,JUMBO
800,115.630808096584,JUMBO
900,112.91618379746,JUMBO
1000,108.597864963219,JUMBO
1100,104.403009667796,JUMBO
1200,99.219719805707,JUMBO
1300,95.5159346838053,JUMBO
1400,90.9494783450732,JUMBO
1500,85.8897730644884,JUMBO
1600,82.5575889858966,JUMBO
1700,77.0022139097568,JUMBO
1800,75.0237712215159,JUMBO
1900,73.7838099551752,JUMBO
2000,71.555172036797,JUMBO
2100,71.1806659690443,JUMBO
2200,70.8041021756446,JUMBO
2300,70.1819427741422,JUMBO
2400,68.4475221390976,JUMBO
2500,67.9477368922486,JUMBO
2600,67.4492831149359,JUMBO
2700,67.074534961813,JUMBO
2800,66.4544332859575,JUMBO
2900,65.2173770440595,JUMBO
3000,63.2417183375763,JUMBO
3100,59.7835288237775,JUMBO
3200,59.2868906867415,JUMBO
3300,58.6676363096819,JUMBO
3400,56.8147148859075,JUMBO
3500,53.727642244678,JUMBO
3600,53.727642244678,JUMBO
0,144.382682305902,SMAC
100,141.050377184625,SMAC
200,137.225307292236,SMAC
300,135.373475252628,SMAC
400,133.643775282303,SMAC
500,132.529819451169,SMAC
600,131.415621534665,SMAC
700,127.830821372234,SMAC
800,125.11123432302,SMAC
900,123.010901650866,SMAC
1000,116.586682180955,SMAC
1100,113.992979524263,SMAC
1200,112.386743092758,SMAC
1300,107.57130195074,SMAC
1400,105.840875724304,SMAC
1500,103.001093288769,SMAC
1600,93.7421751760976,SMAC
1700,87.0761124213223,SMAC
1800,81.5225529854593,SMAC
1900,79.4245201243225,SMAC
2000,77.6954253674231,SMAC
2100,76.8286386992987,SMAC
2200,76.4563113998782,SMAC
2300,74.7239484904806,SMAC
2400,74.4735111749731,SMAC
2500,73.3601605572649,SMAC
2600,72.9871070017336,SMAC
2700,71.7496876317803,SMAC
2800,71.0066065878458,SMAC
2900,70.2641307573367,SMAC
3000,69.2752120199291,SMAC
3100,67.1763318599966,SMAC
3200,65.2016414949943,SMAC
3300,63.5972207037656,SMAC
3400,62.1160213659862,SMAC
3500,61.3756032611242,SMAC
3600,61.3756032611242,SMAC
0,144.259339809768,SMAC
100,141.544715510644,SMAC
200,136.978743342652,SMAC
300,131.303536008247,SMAC
400,128.958697112156,SMAC
500,124.146039951895,SMAC
600,119.456725287769,SMAC
700,118.469380105268,SMAC
800,114.27391959642,SMAC
900,111.805496118825,SMAC
1000,106.251573554907,SMAC
1100,103.90612944539,SMAC
1200,102.917815921408,SMAC
1300,100.572129726522,SMAC
1400,99.5833320317991,SMAC
1500,95.015907351586,SMAC
1600,91.4358278538741,SMAC
1700,88.9661939494276,SMAC
1800,82.9129703094007,SMAC
1900,80.6878426288909,SMAC
2000,79.4483655332906,SMAC
2100,75.4930537117154,SMAC
2200,74.6271143423868,SMAC
2300,71.5374998047699,SMAC
2400,71.5332633107907,SMAC
2500,69.6761053930373,SMAC
2600,68.5604549643119,SMAC
2700,67.5689943305168,SMAC
2800,65.7142572664657,SMAC
2900,63.7341199806332,SMAC
3000,63.4816249394787,SMAC
3100,62.2451739110063,SMAC
3200,61.7496251581364,SMAC
3300,60.2661260093398,SMAC
3400,57.4277960860262,SMAC
3500,56.8109625626689,SMAC
3600,56.8109625626689,SMAC
0,144.01338107361,Unicorn
100,142.161185905946,Unicorn
200,139.3206772143,Unicorn
300,136.232273103534,Unicorn
400,133.019921283209,Unicorn
500,131.413563809018,Unicorn
600,128.199759476471,Unicorn
700,125.606419947835,Unicorn
800,120.792431318038,Unicorn
900,116.844139972199,Unicorn
1000,112.279741359114,Unicorn
1100,107.961664610243,Unicorn
1200,103.644072032111,Unicorn
1300,100.066171302732,Unicorn
1400,94.1431895918909,Unicorn
1500,90.5643205210302,Unicorn
1600,88.9596576444312,Unicorn
1700,86.2430966623456,Unicorn
1800,83.2776719196589,Unicorn
1900,80.3092211098443,Unicorn
2000,76.103956143502,Unicorn
2100,75.2319646399175,Unicorn
2200,74.6107462476768,Unicorn
2300,74.2288839083512,Unicorn
2400,74.1949169881456,Unicorn
2500,73.2307659268746,Unicorn
2600,72.9768183734987,Unicorn
2700,71.7398831742858,Unicorn
2800,69.2724280381714,Unicorn
2900,67.7923180845581,Unicorn
3000,64.83064566511,Unicorn
3100,63.1032455058022,Unicorn
3200,61.4988247145736,Unicorn
3300,60.5116005747575,Unicorn
3400,59.1545910319084,Unicorn
