Samples,Val,Method
0,244.393241167435,CAMEO
100,261.966205837174,CAMEO
200,273.118279569892,CAMEO
300,281.904761904762,CAMEO
400,292.380952380952,CAMEO
500,301.84331797235,CAMEO
600,308.26420890937,CAMEO
700,312.995391705069,CAMEO
800,325.499231950845,CAMEO
900,336.989247311828,CAMEO
1000,344.086021505376,CAMEO
1100,360.307219662058,CAMEO
1200,372.135176651306,CAMEO
1300,386.666666666667,CAMEO
1400,397.480798771121,CAMEO
1500,409.646697388633,CAMEO
1600,414.377880184332,CAMEO
1700,418.095238095238,CAMEO
1800,418.433179723502,CAMEO
1900,420.122887864823,CAMEO
2000,421.47465437788,CAMEO
2100,422.150537634409,CAMEO
2200,422.826420890937,CAMEO
2300,423.502304147466,CAMEO
2400,424.178187403994,CAMEO
2500,424.516129032258,CAMEO
2600,426.205837173579,CAMEO
2700,426.881720430108,CAMEO
2800,428.571428571429,CAMEO
2900,429.585253456221,CAMEO
3000,431.612903225807,CAMEO
3100,434.992319508449,CAMEO
3200,437.357910906298,CAMEO
3300,440.061443932412,CAMEO
3400,445.468509984639,CAMEO
3500,449.861751152074,CAMEO
3600,449.861751152074,CAMEO
0,244.393241167435,CAMEO
100,254.193548387097,CAMEO
200,264.669738863287,CAMEO
300,276.835637480799,CAMEO
400,289.00153609831,CAMEO
500,299.477726574501,CAMEO
600,307.588325652842,CAMEO
700,320.768049155146,CAMEO
800,336.651305683564,CAMEO
900,349.493087557604,CAMEO
1000,360.645161290323,CAMEO
1100,370.445468509985,CAMEO
1200,375.852534562212,CAMEO
1300,376.52841781874,CAMEO
1400,378.556067588326,CAMEO
1500,380.921658986175,CAMEO
1600,382.611367127496,CAMEO
1700,383.963133640553,CAMEO
1800,384.976958525346,CAMEO
1900,385.31490015361,CAMEO
2000,388.694316436252,CAMEO
2100,391.059907834101,CAMEO
2200,396.129032258065,CAMEO
2300,399.508448540707,CAMEO
2400,405.253456221198,CAMEO
2500,412.688172043011,CAMEO
2600,417.757296466974,CAMEO
2700,422.488479262673,CAMEO
2800,429.247311827957,CAMEO
2900,430.937019969278,CAMEO
3000,434.654377880184,CAMEO
3100,439.723502304148,CAMEO
3200,442.427035330261,CAMEO
3300,442.427035330261,CAMEO
3400,443.778801843318,CAMEO
3500,445.130568356375,CAMEO
3600,446.482334869432,CAMEO
0,247.096774193548,JUMBO
100,255.545314900154,JUMBO
200,268.049155145929,JUMBO
300,279.201228878648,JUMBO
400,291.705069124424,JUMBO
500,307.588325652842,JUMBO
600,319.754224270353,JUMBO
700,332.596006144393,JUMBO
800,342.058371735791,JUMBO
900,355.576036866359,JUMBO
1000,366.390168970814,JUMBO
1100,373.824884792627,JUMBO
1200,382.94930875576,JUMBO
1300,385.31490015361,JUMBO
1400,388.694316436252,JUMBO
1500,389.37019969278,JUMBO
1600,389.37019969278,JUMBO
1700,408.294930875576,JUMBO
1800,416.067588325653,JUMBO
1900,425.192012288786,JUMBO
2000,430.937019969278,JUMBO
2100,436.344086021505,JUMBO
2200,437.019969278034,JUMBO
2300,436.344086021505,JUMBO
2400,438.033794162826,JUMBO
2500,438.371735791091,JUMBO
2600,439.047619047619,JUMBO
2700,439.723502304148,JUMBO
2800,440.73732718894,JUMBO
2900,441.413210445469,JUMBO
3000,441.751152073733,JUMBO
