Samples,Val,Method
0,3.29779718327098,CAMEO
100,3.22615687084509,CAMEO
200,3.44844858054299,CAMEO
300,4.55208691926958,CAMEO
400,5.94857863049747,CAMEO
500,7.5651148647098,CAMEO
600,8.74129239054766,CAMEO
700,10.4314464614937,CAMEO
800,11.3134223028022,CAMEO
900,12.6359366274222,CAMEO
1000,13.444654181871,CAMEO
1100,15.208785639425,CAMEO
1200,17.192062745278,CAMEO
1300,19.1018119018658,CAMEO
1400,20.7925052976231,CAMEO
1500,21.8961436363497,CAMEO
1600,23.7340727055746,CAMEO
1700,25.4252155386746,CAMEO
1800,27.1165381467116,CAMEO
1900,27.9997724125797,CAMEO
2000,29.1043096259916,CAMEO
2100,29.5470952960166,CAMEO
2200,30.1363975397609,CAMEO
2300,31.0940586295795,CAMEO
2400,33.0800323594887,CAMEO
2500,33.8891993512802,CAMEO
2600,34.9188603033989,CAMEO
2700,36.2420038402986,CAMEO
2800,37.2725636671027,CAMEO
2900,38.4502692799058,CAMEO
3000,39.6286041049886,CAMEO
3100,40.6587144944499,CAMEO
3200,41.3942636495077,CAMEO
3300,42.0561949678318,CAMEO
3400,42.6452275491704,CAMEO
3500,43.6025290891148,CAMEO
3600,43.6025290891148,CAMEO
0,3.29815673314514,CAMEO
100,3.30031403239008,CAMEO
200,3.9633240003366,CAMEO
300,6.60997062401027,CAMEO
400,9.25571837299857,CAMEO
500,11.3865008147247,CAMEO
600,13.297328620935,CAMEO
700,14.8406964557562,CAMEO
800,17.8543536134762,CAMEO
900,20.6458988364354,CAMEO
1000,23.512500095625,CAMEO
1100,24.8367222821472,CAMEO
1200,28.2193674982214,CAMEO
1300,29.7639937576022,CAMEO
1400,33.0709537251662,CAMEO
1500,34.1736931892074,CAMEO
1600,35.423488551779,CAMEO
1700,37.0411933230823,CAMEO
1800,38.5119320833238,CAMEO
1900,40.2041535660463,CAMEO
2000,41.2355223800672,CAMEO
2100,42.2668013066195,CAMEO
2200,43.004957198265,CAMEO
2300,43.4486417429754,CAMEO
2400,44.0383934240623,CAMEO
2500,44.9952455266641,CAMEO
2600,45.8044125184556,CAMEO
2700,46.1002321774187,CAMEO
2800,46.3958720614448,CAMEO
2900,46.6179839962056,CAMEO
3000,46.8406352557777,CAMEO
3100,47.2823422761802,CAMEO
3200,47.4296678371163,CAMEO
3300,47.7244088464569,CAMEO
3400,47.871734407393,CAMEO
3500,48.019059968329,CAMEO
3600,48.019059968329,CAMEO
0,3.5178417062554,JUMBO
100,3.73968397861061,JUMBO
200,4.18273931104124,JUMBO
300,5.35999548650158,JUMBO
400,7.27055363030622,JUMBO
500,8.66785432875098,JUMBO
600,11.0191307308042,JUMBO
700,12.7821835387358,JUMBO
