Samples,Val,Method
0,3.5182911435981,CAMEO
100,6.01770209380427,CAMEO
200,9.17652751321536,CAMEO
300,11.380388466864,CAMEO
400,13.9509902921534,CAMEO
500,18.2847348128428,CAMEO
600,22.3241877615343,CAMEO
700,26.877797030271,CAMEO
800,30.3299252595262,CAMEO
900,32.9754033461088,CAMEO
1000,34.5929283424751,CAMEO
1100,35.623128619405,CAMEO
1200,37.9021354967526,CAMEO
1300,39.4471213060075,CAMEO
1400,41.8723750946687,CAMEO
1500,43.1959680689112,CAMEO
1600,45.1073351999327,CAMEO
1700,46.8720059822979,CAMEO
1800,47.7555997980401,CAMEO
1900,48.0515992319403,CAMEO
2000,48.3471492284978,CAMEO
2100,48.7920023102992,CAMEO
2200,49.0160018818993,CAMEO
2300,49.0919567928151,CAMEO
2400,49.3877764517782,CAMEO
2500,49.4648100123165,CAMEO
2600,49.6152816346514,CAMEO
2700,49.6175288213649,CAMEO
2800,49.6931241824065,CAMEO
2900,49.7692588682594,CAMEO
3000,49.770697067756,CAMEO
3100,49.7715959424414,CAMEO
3200,49.920179927937,CAMEO
3300,49.8485396155111,CAMEO
3400,49.9974831508809,CAMEO
3500,49.998831462909,CAMEO
3600,49.998831462909,CAMEO
0,3.2971679709912,CAMEO
100,4.84143468049786,CAMEO
200,6.45797091471017,CAMEO
300,8.36897849585752,CAMEO
400,10.4265925381926,CAMEO
500,12.8504980148257,CAMEO
600,15.4215492774577,CAMEO
700,21.4451782066876,CAMEO
800,25.044002784599,CAMEO
900,27.4686273609804,CAMEO
1000,30.5539248311263,CAMEO
1100,33.8611544610959,CAMEO
1200,35.330994346652,CAMEO
1300,38.4915276279653,CAMEO
1400,40.4019958843014,CAMEO
1500,42.8278788852424,CAMEO
1600,44.0054946105769,CAMEO
1700,45.4775816828464,CAMEO
1800,46.9517361668923,CAMEO
1900,47.3964094737567,CAMEO
2000,47.5455327840635,CAMEO
2100,47.9157792669773,CAMEO
2200,48.1380709766752,CAMEO
2300,48.2140258875909,CAMEO
2400,48.4373962469113,CAMEO
2500,48.5129916079529,CAMEO
2600,48.736811404616,CAMEO
2700,48.6655306420643,CAMEO
2800,48.9625188381184,CAMEO
2900,49.1115522609567,CAMEO
3000,49.1139792226073,CAMEO
3100,49.2631025329141,CAMEO
3200,49.3379787942074,CAMEO
3300,49.4129449429693,CAMEO
3400,49.4143831424659,CAMEO
3500,49.488720078948,CAMEO
3600,49.488720078948,CAMEO
0,3.66516726719146,JUMBO
100,5.43064703677354,JUMBO
200,8.88699997705001,JUMBO
300,11.3876693518157,JUMBO
